Physics,Chemistry,Math,CS,Statistics,English,Hindi,Regional,PE,Logical,Analytical,ProblemSolving,Numerical,Verbal,Interest_Area,Suggested_Course,Career Options
82,45,98,41,46,71,40,41,93,63,76,89,96,58,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
89,44,84,47,50,88,46,49,61,49,73,52,97,44,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
84,82,90,53,48,79,51,45,51,68,98,85,80,52,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
89,62,83,43,59,75,46,57,57,62,96,44,94,47,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
93,47,89,87,70,78,49,56,56,85,82,96,96,68,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
93,97,80,52,52,68,40,51,83,43,61,85,62,45,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
49,46,88,62,85,67,40,43,52,61,89,59,96,53,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
87,55,84,83,76,72,41,41,46,85,81,86,83,79,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
97,58,99,59,41,62,42,48,81,60,66,89,95,43,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
83,95,83,58,54,77,53,41,43,52,84,91,99,41,Engineering/CS/IT,Chemical,"Chemical Engineer, Process Engineer, Petroleum Engineer, Food & Chemical Quality Analyst, Pharmaceutical Engineer, Environmental Engineer, Energy Engineer"
88,43,98,49,54,76,50,51,40,43,62,86,94,50,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
90,96,85,43,40,75,45,57,56,54,96,80,95,44,Engineering/CS/IT,Chemical,"Chemical Engineer, Process Engineer, Petroleum Engineer, Food & Chemical Quality Analyst, Pharmaceutical Engineer, Environmental Engineer, Energy Engineer"
99,41,87,54,43,73,43,53,80,77,76,83,99,55,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
84,86,99,58,52,68,55,55,43,77,86,95,90,47,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
94,53,97,83,60,65,49,57,40,97,91,91,94,76,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
80,45,100,88,69,66,44,46,52,85,85,83,92,78,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
92,59,92,97,71,74,48,52,55,80,92,94,91,62,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
79,43,87,98,91,64,42,50,41,83,93,89,64,52,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
60,55,80,86,86,71,41,56,48,85,89,86,63,59,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
87,58,84,49,57,69,56,42,47,80,80,69,43,53,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
60,50,87,81,84,63,51,42,52,95,91,97,72,49,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
47,47,99,90,67,69,57,42,42,80,90,80,43,68,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
93,48,84,55,56,98,53,43,70,55,67,57,90,50,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
84,97,82,54,55,70,43,44,47,78,91,98,95,56,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
90,91,88,44,52,61,59,54,45,67,92,80,84,49,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
73,91,88,53,54,74,44,41,51,42,94,43,40,54,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
81,56,94,83,71,72,48,55,57,100,87,55,61,46,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
95,90,89,47,56,60,45,54,49,62,89,96,90,54,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
92,81,85,58,45,70,48,52,56,72,84,94,85,57,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
89,41,94,53,53,68,44,40,54,52,66,84,95,42,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
90,46,97,92,75,73,44,51,59,84,86,56,73,56,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
99,41,93,40,48,96,56,52,78,47,65,41,90,51,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
88,80,91,40,56,79,44,55,46,58,93,82,90,59,Engineering/CS/IT,Chemical,"Chemical Engineer, Process Engineer, Petroleum Engineer, Food & Chemical Quality Analyst, Pharmaceutical Engineer, Environmental Engineer, Energy Engineer"
93,48,80,50,46,70,53,54,81,75,76,99,94,55,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
91,48,85,53,42,78,40,47,56,68,84,45,95,46,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
44,54,86,85,61,65,45,44,55,83,83,82,54,71,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
93,59,83,55,43,93,45,41,69,45,79,57,91,43,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
68,97,92,58,57,67,41,51,45,43,93,58,40,46,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
85,85,80,45,53,78,57,40,83,48,65,92,68,55,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
61,53,97,80,82,74,54,40,46,82,92,86,74,41,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
80,41,89,58,46,66,45,53,54,65,88,48,92,58,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
83,94,85,58,48,74,53,47,57,40,97,87,98,41,Engineering/CS/IT,Chemical,"Chemical Engineer, Process Engineer, Petroleum Engineer, Food & Chemical Quality Analyst, Pharmaceutical Engineer, Environmental Engineer, Energy Engineer"
50,48,81,85,71,79,59,57,50,83,99,87,59,67,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
94,85,95,45,57,62,45,58,43,72,87,91,100,41,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
78,93,81,44,53,73,54,52,50,45,94,45,57,49,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
46,58,95,68,99,78,51,40,54,60,96,57,93,49,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
93,55,91,93,60,65,41,57,40,83,98,85,99,61,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
85,82,91,49,47,79,41,48,48,77,98,81,98,47,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
85,91,86,47,46,65,40,45,47,71,82,81,84,51,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
91,41,83,59,47,70,49,50,41,67,92,58,96,57,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
89,46,99,46,47,66,45,49,47,92,85,78,53,44,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
97,40,91,98,77,67,43,44,48,88,82,85,98,61,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
90,59,92,50,59,79,59,44,81,63,64,87,95,52,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
82,55,94,89,78,71,48,45,42,80,92,45,79,48,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
78,46,94,90,99,63,58,44,45,92,94,82,67,43,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
91,47,92,44,53,88,55,50,64,56,72,48,92,43,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
80,99,93,43,54,67,40,40,58,78,85,97,88,50,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
88,81,86,45,43,62,51,47,50,71,80,90,83,48,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
84,43,98,100,63,69,47,41,56,94,95,58,74,44,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
94,79,84,51,48,64,44,42,56,77,87,48,100,50,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
83,58,85,40,49,77,55,55,41,93,95,72,58,46,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
87,45,98,98,77,73,51,43,51,99,81,45,70,54,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
89,53,88,41,56,70,56,51,56,96,86,77,45,50,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
75,44,92,85,80,76,48,52,55,84,98,85,71,49,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
100,50,91,82,78,72,45,57,45,85,85,51,60,43,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
85,51,100,52,45,69,54,45,57,93,86,78,48,45,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
82,45,85,87,68,62,49,58,58,85,99,80,80,79,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
72,45,94,81,84,73,52,40,48,90,81,98,71,53,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
85,42,95,89,61,60,47,59,42,81,82,58,67,47,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
46,57,99,65,84,65,49,54,42,62,98,47,92,40,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
93,40,96,84,74,75,41,50,52,88,92,83,93,61,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
93,44,92,49,46,96,51,40,60,58,70,47,94,45,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
88,53,82,94,73,64,47,43,46,86,93,43,60,59,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
89,62,93,49,44,66,43,52,51,68,89,43,86,54,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
94,95,92,56,51,75,53,41,53,66,88,99,89,45,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
88,53,82,95,70,70,43,56,57,94,80,82,95,79,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
86,85,89,45,41,65,49,57,87,54,69,88,68,42,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
85,47,88,51,53,90,46,56,72,58,68,54,98,40,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
91,89,97,51,47,72,44,53,57,78,81,88,94,45,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
96,53,88,82,60,60,59,50,47,96,90,50,75,48,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
82,92,88,47,50,78,59,40,41,78,87,95,97,42,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
93,61,89,55,53,63,49,47,54,76,96,48,88,46,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
81,52,92,42,57,74,51,53,88,73,74,84,92,47,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
57,42,91,89,62,76,51,56,59,98,81,81,44,74,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
85,58,83,40,56,89,50,41,74,57,72,40,89,47,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
53,53,81,70,81,67,47,54,48,73,98,56,87,46,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
92,55,100,94,66,60,52,55,43,97,84,85,85,73,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
75,58,100,88,82,79,40,56,54,96,100,96,73,50,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
96,50,99,81,72,75,46,58,53,86,89,45,76,59,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
95,52,80,50,50,60,49,58,44,44,63,94,81,48,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
93,42,97,52,54,60,53,52,46,85,81,62,52,45,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
80,95,86,58,58,65,56,59,82,58,77,85,75,43,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
84,53,90,46,47,74,42,54,40,97,93,69,59,48,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
92,98,89,45,40,66,58,57,47,62,87,90,89,59,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
83,49,91,98,79,73,54,40,52,99,85,82,99,70,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
94,46,80,51,48,79,56,45,48,87,97,76,48,47,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
84,42,94,97,63,73,55,56,40,92,100,92,100,68,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
83,90,100,56,58,61,43,52,48,58,84,100,96,42,Engineering/CS/IT,Chemical,"Chemical Engineer, Process Engineer, Petroleum Engineer, Food & Chemical Quality Analyst, Pharmaceutical Engineer, Environmental Engineer, Energy Engineer"
80,46,94,41,43,75,41,59,44,73,100,49,81,54,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
86,40,96,100,77,61,56,42,54,85,92,84,96,65,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
77,45,100,89,89,76,50,40,40,94,84,96,76,58,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
98,45,100,54,48,62,42,53,57,60,93,58,83,59,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
43,45,95,92,72,64,40,57,41,96,84,80,47,79,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
94,81,100,45,53,66,48,48,48,66,90,99,92,45,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
90,76,95,40,42,65,40,49,44,69,85,51,86,53,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
98,42,84,87,74,71,47,40,45,97,88,98,94,72,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
87,59,92,100,74,60,44,49,47,92,90,84,89,61,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
51,47,93,68,96,62,57,54,51,68,80,47,92,48,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
97,44,83,51,58,74,55,47,56,51,68,92,93,44,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
84,47,93,81,72,72,54,59,59,96,93,49,78,42,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
91,98,89,58,55,65,44,41,48,65,99,96,92,45,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
93,98,99,44,40,72,53,52,42,74,98,98,93,45,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
91,52,99,98,79,64,58,59,57,87,86,50,77,55,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
57,56,94,95,74,79,45,51,53,80,89,83,47,68,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
85,41,96,48,59,67,43,50,46,59,76,86,99,42,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
84,92,80,40,40,62,49,49,41,74,92,84,99,42,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
67,81,89,58,42,66,49,43,40,46,96,58,55,50,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
100,97,95,44,41,78,59,57,53,70,92,89,85,44,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
60,90,99,44,41,76,45,47,50,47,80,58,55,53,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
79,43,99,88,97,79,52,44,58,97,81,100,71,52,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
84,40,82,55,51,67,40,54,59,93,93,63,56,53,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
90,95,84,49,40,69,47,49,95,48,63,85,70,47,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
66,55,99,90,92,63,40,41,55,95,95,86,65,42,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
91,41,87,53,42,98,45,41,64,50,79,58,99,42,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
86,96,95,46,46,74,41,46,89,45,69,89,68,54,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
77,99,80,48,55,73,40,54,57,53,84,47,50,42,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
95,53,90,82,79,62,55,41,57,91,82,95,87,65,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
98,51,82,48,51,72,46,48,41,99,82,77,51,56,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
