Course,Area of Interest,Fine Arts,Creativity,Communication,Empathy,English,Sociology,Memory,Computer Science,Mathematics,Statistics,Accountancy,Business Studies,Economics,Psychology,Hindi,Geography,Biology,Chemistry,Logical Reasoning,Critical Thinking,Numerical Aptitude
Diploma in Interior Designing,Interior Design & Architecture,81,93,89,48,69.0,71,40,45,46,46,41,54,50,43,43,55,49,44,77,95,56
Diploma in Interior Designing,Interior Design & Architecture,93,88,84,59,65.0,78,44,58,47,57,58,41,42,42,58,40,50,49,64,97,56
Diploma in Paramedical Sciences,Healthcare & Allied Services,40,54,71,92,,79,84,57,56,52,54,53,57,53,41,42,94,100,55,74,46
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,43,95,87,85,77.0,74,87,42,55,56,50,71,52,52,51,45,44,58,50,54,49
Diploma in Digital Marketing,Marketing & Online Branding,41,98,99,55,90.0,77,51,87,54,43,40,71,42,50,54,42,41,48,55,72,46
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,98,84,98,87,66.0,60,71,41,42,50,55,53,54,55,60,54,42,47,59,53,44
Diploma in Retail Management,Retail & Sales Operations,57,59,89,82,99.0,71,64,60,54,51,44,84,50,44,51,50,41,57,55,78,53
Diploma in Interior Designing,Interior Design & Architecture,86,94,84,58,65.0,70,52,47,57,43,40,53,60,53,52,51,60,53,69,88,50
Diploma in Travel & Tourism Management,Tourism & Service Industry,60,43,99,82,86.0,89,42,40,55,60,48,66,50,45,48,62,56,43,59,76,40
Diploma in Digital Marketing,Marketing & Online Branding,43,94,81,43,81.0,68,40,88,42,52,54,64,48,53,50,53,43,60,41,62,41
Diploma in Fashion Designing,"Fashion, Creativity & Design",97,98,100,77,72.0,73,59,51,49,59,58,40,40,43,47,60,57,46,46,95,50
Diploma in Paramedical Sciences,Healthcare & Allied Services,57,48,79,96,,64,95,40,52,60,49,50,48,53,47,55,96,99,47,77,57
Diploma in Event Management,Event Planning & Management,44,91,80,78,60.0,84,48,53,56,42,54,96,43,43,54,55,41,48,59,70,56
Diploma in Fashion Designing,"Fashion, Creativity & Design",80,83,97,64,80.0,60,47,40,60,42,41,44,60,53,42,46,51,45,58,87,48
Diploma in Journalism & Mass Communication,Media & Communication,56,71,84,42,82.0,89,40,51,56,49,44,54,40,66,58,47,44,49,76,92,56
Diploma in Paramedical Sciences,Healthcare & Allied Services,52,46,72,96,,79,85,49,47,43,56,55,60,42,52,41,99,87,43,61,45
Diploma in Interior Designing,Interior Design & Architecture,81,96,88,57,70.0,67,40,51,55,46,53,57,49,41,43,49,46,43,64,91,49
Diploma in Travel & Tourism Management,Tourism & Service Industry,40,53,88,83,91.0,83,51,60,50,55,50,69,52,44,41,66,42,57,49,60,52
Diploma in Fashion Designing,"Fashion, Creativity & Design",87,91,96,71,66.0,69,47,50,44,47,56,46,40,53,49,51,42,47,40,93,55
Diploma in Photography,Photography & Visual Arts,84,96,96,57,63.0,61,51,61,54,49,49,49,40,51,49,53,48,40,48,83,47
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",91,81,79,50,74.0,58,52,88,43,55,47,56,45,44,42,48,49,45,72,84,53
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,85,86,82,90,65.0,65,73,54,46,48,53,42,41,42,53,45,48,51,44,46,40
Diploma in Event Management,Event Planning & Management,60,87,86,62,60.0,90,55,48,58,49,55,82,43,59,49,53,48,46,44,62,55
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,41,43,77,59,69.0,50,59,88,56,59,53,56,41,46,48,59,55,48,95,66,81
Diploma in Graphic Designing,Design & Visual Communication,87,85,62,54,70.0,42,52,94,40,47,45,43,56,41,40,43,60,52,71,80,43
Diploma in Graphic Designing,Design & Visual Communication,92,99,76,55,66.0,47,50,98,57,57,60,48,51,46,50,50,52,42,64,81,46
Diploma in Hotel Management,Hospitality & Service Management,40,55,96,81,93.0,87,70,54,54,46,52,72,58,78,47,49,54,55,49,71,51
Diploma in Digital Marketing,Marketing & Online Branding,47,91,81,59,92.0,76,54,81,54,52,60,65,60,46,58,47,52,50,46,72,53
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,89,82,81,83,73.0,70,78,48,47,44,43,58,44,52,44,45,46,42,45,43,47
Diploma in Graphic Designing,Design & Visual Communication,100,95,73,52,71.0,40,56,98,44,56,41,40,53,48,49,46,58,55,76,89,45
Diploma in Event Management,Event Planning & Management,59,95,87,76,67.0,100,51,45,52,53,40,83,40,56,48,41,44,41,56,69,56
Diploma in Travel & Tourism Management,Tourism & Service Industry,51,60,87,90,80.0,99,48,51,48,52,48,74,52,48,53,79,45,46,52,68,51
Diploma in Journalism & Mass Communication,Media & Communication,47,75,87,40,85.0,86,49,42,52,56,44,48,50,66,41,44,50,51,66,98,54
Diploma in Hotel Management,Hospitality & Service Management,58,47,88,100,99.0,86,70,59,45,57,47,70,49,73,45,41,53,60,59,72,51
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,55,42,74,49,74.0,46,46,81,40,57,52,45,49,40,59,52,40,45,88,77,83
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,90,97,82,90,63.0,63,73,49,45,53,54,55,49,43,55,53,49,51,60,49,40
Diploma in Retail Management,Retail & Sales Operations,60,58,98,96,83.0,68,75,49,43,60,44,99,47,51,42,56,43,57,53,76,45
Diploma in Photography,Photography & Visual Arts,93,100,95,49,79.0,72,42,77,43,45,47,46,45,57,53,59,57,46,42,86,54
Diploma in Paramedical Sciences,Healthcare & Allied Services,47,56,61,90,,74,80,51,52,49,58,56,50,40,43,53,91,95,55,75,54
Diploma in Hotel Management,Hospitality & Service Management,41,52,81,98,97.0,94,61,49,52,46,44,63,46,67,43,57,44,59,40,69,59
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,56,52,64,60,64.0,49,44,100,47,57,44,59,53,56,53,59,55,50,91,62,87
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,46,43,73,43,68.0,52,53,93,48,53,46,60,58,53,60,41,56,41,99,68,97
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,99,86,94,100,79.0,64,62,40,45,58,60,40,42,58,53,41,46,48,41,46,60
Diploma in Paramedical Sciences,Healthcare & Allied Services,43,50,77,90,,67,85,55,52,51,56,54,44,53,52,57,80,100,46,70,56
Diploma in Travel & Tourism Management,Tourism & Service Industry,52,53,97,91,81.0,99,42,43,58,50,54,75,56,53,49,61,53,58,48,64,52
Diploma in Graphic Designing,Design & Visual Communication,83,93,68,53,74.0,49,44,88,50,41,52,42,41,46,43,60,58,49,72,85,56
Diploma in Photography,Photography & Visual Arts,83,82,89,55,77.0,65,50,73,59,55,57,51,48,55,46,53,55,46,53,92,59
Diploma in Event Management,Event Planning & Management,57,97,88,64,65.0,88,48,57,57,55,47,93,41,48,55,41,41,48,54,76,42
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,49,83,90,82,75.0,80,96,54,46,44,49,76,53,51,56,53,49,48,58,52,55
Diploma in Photography,Photography & Visual Arts,90,97,85,50,71.0,74,57,70,43,50,51,46,57,43,43,45,55,59,45,88,57
Diploma in Digital Marketing,Marketing & Online Branding,53,91,88,55,93.0,65,60,80,45,51,41,77,46,53,50,45,53,43,51,74,40
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,80,83,87,87,79.0,65,79,53,45,58,44,47,45,58,50,58,43,60,48,56,47
Diploma in Travel & Tourism Management,Tourism & Service Industry,45,53,87,94,80.0,94,46,47,56,40,51,73,52,46,47,72,49,57,57,75,41
Diploma in Photography,Photography & Visual Arts,89,88,81,45,67.0,65,58,66,55,40,41,40,48,50,43,48,59,56,40,88,46
Diploma in Fashion Designing,"Fashion, Creativity & Design",87,89,88,63,72.0,78,45,60,54,40,54,52,51,54,55,53,46,51,59,89,41
Diploma in Event Management,Event Planning & Management,41,98,81,76,65.0,82,50,50,59,60,52,86,59,44,55,43,54,52,48,64,60
Diploma in Fashion Designing,"Fashion, Creativity & Design",93,84,86,61,77.0,64,43,55,42,40,54,60,60,56,55,57,40,43,60,80,44
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",83,86,73,43,76.0,57,49,99,45,51,47,44,42,45,41,59,49,44,63,83,50
Diploma in Journalism & Mass Communication,Media & Communication,57,60,84,57,89.0,99,57,58,47,50,41,44,58,71,40,55,47,57,61,86,58
Diploma in Paramedical Sciences,Healthcare & Allied Services,42,42,77,89,,64,95,59,46,40,54,43,53,44,52,58,84,90,45,76,57
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,85,100,82,93,66.0,71,71,52,53,49,47,59,44,50,55,57,48,57,47,57,45
Diploma in Graphic Designing,Design & Visual Communication,91,94,62,52,62.0,42,43,95,48,48,43,46,46,55,48,58,55,42,65,86,47
Diploma in Graphic Designing,Design & Visual Communication,95,89,72,49,62.0,44,42,81,56,48,51,50,53,50,52,46,44,41,69,97,51
Diploma in Hotel Management,Hospitality & Service Management,51,54,99,91,91.0,84,71,58,56,55,55,60,50,68,58,60,44,44,51,79,52
Diploma in Digital Marketing,Marketing & Online Branding,54,80,91,40,85.0,61,51,83,47,43,54,76,41,40,59,56,60,40,40,69,47
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",85,89,63,40,60.0,49,47,99,56,58,59,56,46,54,42,50,56,45,75,80,53
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,46,84,98,86,75.0,61,81,55,40,59,57,80,42,57,50,45,50,46,55,46,42
Diploma in Digital Marketing,Marketing & Online Branding,45,94,83,52,95.0,77,42,99,59,54,46,79,47,53,42,52,51,45,57,64,59
Diploma in Travel & Tourism Management,Tourism & Service Industry,60,55,94,94,87.0,85,55,59,41,55,41,60,58,51,53,71,52,52,46,63,41
Diploma in Photography,Photography & Visual Arts,89,87,84,43,73.0,62,41,76,46,44,43,60,43,56,40,40,43,60,56,82,55
Diploma in Event Management,Event Planning & Management,43,85,82,65,76.0,93,40,48,43,58,50,92,45,46,57,50,41,54,54,72,52
Diploma in Graphic Designing,Design & Visual Communication,95,80,66,52,75.0,48,48,81,56,60,41,44,57,44,57,42,50,43,61,85,49
Diploma in Event Management,Event Planning & Management,59,88,94,70,60.0,88,45,51,56,49,48,91,56,48,59,55,55,40,47,61,60
Diploma in Photography,Photography & Visual Arts,95,85,85,56,68.0,64,54,62,59,57,44,41,41,60,59,56,42,40,50,97,41
Diploma in Digital Marketing,Marketing & Online Branding,47,80,92,50,89.0,63,57,89,57,46,60,70,53,43,51,51,49,44,53,61,43
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,41,52,75,51,60.0,55,46,84,43,57,53,51,53,41,46,48,47,56,91,61,88
Diploma in Digital Marketing,Marketing & Online Branding,46,96,90,52,95.0,80,54,85,41,54,44,62,47,47,48,40,53,44,59,60,56
Diploma in Hotel Management,Hospitality & Service Management,58,41,81,88,86.0,99,64,49,47,57,44,69,49,67,58,55,49,56,59,73,41
Diploma in Journalism & Mass Communication,Media & Communication,59,76,84,52,81.0,93,59,44,50,47,41,48,55,61,52,42,53,51,62,92,46
Diploma in Graphic Designing,Design & Visual Communication,82,89,70,57,61.0,55,41,80,51,60,45,43,53,43,48,60,59,58,65,85,54
Diploma in Paramedical Sciences,Healthcare & Allied Services,42,58,77,81,,63,89,57,45,56,60,49,40,54,48,49,99,89,46,66,54
Diploma in Paramedical Sciences,Healthcare & Allied Services,48,54,76,80,,70,91,54,44,44,45,40,53,46,53,47,97,93,46,60,43
Diploma in Travel & Tourism Management,Tourism & Service Industry,44,49,98,82,85.0,88,57,45,52,41,47,78,57,59,54,66,45,48,55,65,52
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,93,92,99,98,64.0,61,74,49,55,45,44,43,49,50,58,42,56,52,52,50,46
Diploma in Journalism & Mass Communication,Media & Communication,44,60,89,56,87.0,95,56,46,40,44,55,40,52,71,56,44,53,44,67,97,56
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,48,85,96,97,75.0,69,80,40,55,55,48,80,43,43,54,45,57,55,50,56,56
Diploma in Paramedical Sciences,Healthcare & Allied Services,55,60,66,84,,64,91,58,49,43,55,52,43,54,45,58,80,82,40,75,55
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,86,89,90,96,73.0,60,67,55,50,45,43,60,58,51,41,55,50,57,42,46,54
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,86,89,99,97,66.0,76,65,52,43,52,60,45,49,44,56,42,44,51,46,44,41
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,60,41,62,57,67.0,41,53,95,48,47,59,41,43,45,42,54,47,45,84,67,92
Diploma in Digital Marketing,Marketing & Online Branding,46,84,93,58,90.0,77,59,89,56,43,43,63,57,50,48,41,52,51,50,69,42
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,50,40,60,55,68.0,52,57,97,44,52,47,43,60,47,47,47,55,50,85,69,88
Diploma in Hotel Management,Hospitality & Service Management,40,58,83,93,95.0,96,68,45,41,40,45,72,41,66,49,41,42,52,46,78,58
Diploma in Event Management,Event Planning & Management,47,80,84,62,76.0,99,49,58,44,56,42,80,56,56,48,60,55,57,52,69,53
Diploma in Event Management,Event Planning & Management,40,81,88,71,68.0,100,51,42,42,43,52,100,43,42,49,60,53,53,58,72,57
Diploma in Graphic Designing,Design & Visual Communication,94,83,66,46,70.0,43,47,100,50,53,47,43,55,55,44,49,50,49,71,84,41
Diploma in Interior Designing,Interior Design & Architecture,94,94,97,52,68.0,77,41,41,54,50,58,59,40,42,56,58,60,59,64,87,45
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,56,57,61,60,75.0,45,55,95,59,49,57,52,41,47,58,49,52,56,95,66,97
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",81,93,73,43,71.0,46,52,93,42,44,58,52,57,47,45,43,56,60,78,91,54
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",80,94,71,55,78.0,57,55,95,56,48,50,47,52,55,57,55,56,47,63,86,59
Diploma in Digital Marketing,Marketing & Online Branding,51,84,97,49,98.0,78,53,98,47,57,44,75,60,60,55,44,41,57,59,61,44
Diploma in Graphic Designing,Design & Visual Communication,99,96,76,46,70.0,50,51,89,43,58,53,40,54,45,42,45,41,45,64,85,51
Diploma in Photography,Photography & Visual Arts,87,87,91,40,75.0,66,54,74,52,59,49,58,52,58,41,54,42,40,44,84,56
Diploma in Fashion Designing,"Fashion, Creativity & Design",84,86,100,60,67.0,66,52,44,44,52,54,53,56,41,41,53,46,50,58,96,47
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,44,57,72,50,64.0,49,55,81,49,55,54,54,46,45,51,51,48,55,93,63,83
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,48,42,73,48,80.0,46,59,98,50,45,46,45,50,52,59,58,55,51,91,63,90
Diploma in Event Management,Event Planning & Management,60,88,91,78,61.0,85,60,56,41,47,60,92,50,48,50,45,59,57,59,77,54
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,50,94,90,90,65.0,72,96,48,44,60,44,78,49,53,40,56,46,49,40,41,59
Diploma in Interior Designing,Interior Design & Architecture,90,95,82,54,62.0,74,60,52,52,44,46,53,46,57,52,49,48,43,69,89,48
Diploma in Journalism & Mass Communication,Media & Communication,45,75,80,59,81.0,90,55,52,51,50,54,47,41,69,47,57,40,41,76,88,47
Diploma in Retail Management,Retail & Sales Operations,59,41,100,97,97.0,73,69,56,49,48,48,87,48,53,41,48,40,51,47,62,53
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,100,87,96,81,64.0,77,66,58,55,45,53,56,52,43,56,45,46,58,43,48,48
Diploma in Hotel Management,Hospitality & Service Management,50,41,97,86,96.0,99,77,49,42,50,47,61,45,66,47,45,48,49,46,62,53
Diploma in Photography,Photography & Visual Arts,100,84,100,59,76.0,77,47,74,59,43,48,60,51,58,43,60,41,40,53,99,48
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,91,89,98,88,75.0,69,72,49,46,52,44,57,44,58,51,56,46,47,47,44,51
Diploma in Interior Designing,Interior Design & Architecture,93,81,95,57,70.0,68,52,49,55,56,42,40,45,47,53,57,59,60,77,89,49
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,53,91,84,97,73.0,76,100,52,48,54,53,63,53,42,46,50,59,58,55,54,60
Diploma in Event Management,Event Planning & Management,55,92,95,78,72.0,100,52,54,55,43,49,85,58,48,49,42,57,42,58,61,52
Diploma in Fashion Designing,"Fashion, Creativity & Design",93,91,89,72,60.0,79,56,59,52,44,54,55,60,41,45,45,60,40,44,89,54
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,40,47,65,51,78.0,42,53,93,45,46,58,42,55,46,60,49,42,56,81,72,87
Diploma in Journalism & Mass Communication,Media & Communication,43,77,87,46,96.0,97,58,43,57,46,48,56,57,67,40,51,44,42,74,96,51
Diploma in Paramedical Sciences,Healthcare & Allied Services,51,47,73,92,,75,97,45,52,51,44,60,54,60,49,52,84,92,56,80,54
Diploma in Interior Designing,Interior Design & Architecture,82,91,93,44,66.0,76,45,51,55,56,59,42,50,51,59,43,52,42,64,81,49
Diploma in Hotel Management,Hospitality & Service Management,42,45,90,90,84.0,89,61,58,43,60,50,68,50,70,42,50,56,42,54,67,48
Diploma in Retail Management,Retail & Sales Operations,55,49,93,99,100.0,64,77,48,56,48,60,82,47,42,56,42,50,58,53,73,55
Diploma in Fashion Designing,"Fashion, Creativity & Design",84,96,97,80,60.0,66,46,41,40,44,50,40,51,51,50,47,41,56,44,81,52
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,57,87,97,86,65.0,68,96,49,54,56,50,60,43,50,42,43,57,49,57,43,50
Diploma in Digital Marketing,Marketing & Online Branding,41,99,84,43,96.0,64,56,96,51,53,46,76,56,49,58,40,59,51,57,67,59
Diploma in Photography,Photography & Visual Arts,82,97,85,48,72.0,61,40,72,53,55,43,51,54,54,43,42,53,42,58,87,47
Diploma in Fashion Designing,"Fashion, Creativity & Design",82,91,85,69,77.0,77,53,59,49,53,42,49,42,58,55,44,43,42,56,90,48
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,45,82,94,98,61.0,77,80,52,54,54,46,67,43,51,42,41,51,50,57,48,50
Diploma in Fashion Designing,"Fashion, Creativity & Design",97,89,98,77,66.0,76,46,49,56,43,53,50,45,40,58,60,51,58,41,99,53
Diploma in Retail Management,Retail & Sales Operations,57,48,85,80,84.0,63,77,52,50,54,50,86,51,49,44,54,56,49,43,73,49
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,93,88,84,82,69.0,74,78,49,44,45,55,53,46,56,49,43,57,50,45,57,58
Diploma in Retail Management,Retail & Sales Operations,40,56,85,100,87.0,73,63,52,43,54,56,94,42,48,40,49,56,60,59,74,50
Diploma in Interior Designing,Interior Design & Architecture,98,87,100,47,66.0,64,48,50,52,53,57,49,55,49,40,56,40,49,65,97,51
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",80,92,64,55,60.0,42,45,89,54,52,40,50,43,48,48,55,55,49,79,94,42
Diploma in Travel & Tourism Management,Tourism & Service Industry,54,46,91,90,88.0,83,46,54,47,60,59,71,45,57,56,74,45,50,57,74,40
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,52,85,95,95,69.0,72,88,42,45,57,59,64,58,46,51,42,50,42,52,58,41
Diploma in Hotel Management,Hospitality & Service Management,44,59,80,84,87.0,94,65,42,43,51,41,74,45,66,47,42,52,52,60,67,44
Diploma in Fashion Designing,"Fashion, Creativity & Design",100,87,100,66,71.0,80,55,46,41,60,48,50,55,43,40,49,51,53,49,93,51
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,56,93,91,82,72.0,74,96,54,55,50,49,78,52,55,57,47,60,46,40,58,43
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",97,85,64,60,72.0,50,55,93,58,43,42,44,42,42,60,54,56,58,60,89,59
Diploma in Retail Management,Retail & Sales Operations,57,50,92,84,91.0,77,80,43,54,58,44,94,45,53,50,58,46,54,48,69,42
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,47,83,90,86,71.0,77,80,47,43,41,50,78,55,51,42,54,53,57,50,53,46
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,60,81,94,90,77.0,78,83,43,55,50,55,71,49,50,44,60,58,49,60,52,43
Diploma in Hotel Management,Hospitality & Service Management,49,60,96,100,81.0,93,72,60,56,56,54,78,43,60,58,43,40,41,40,79,53
Diploma in Paramedical Sciences,Healthcare & Allied Services,40,55,74,80,,79,93,45,45,49,55,51,43,44,42,58,86,85,53,72,56
Diploma in Hotel Management,Hospitality & Service Management,50,48,89,93,89.0,98,63,41,49,51,57,73,54,70,47,40,48,42,41,60,60
Diploma in Event Management,Event Planning & Management,40,80,82,62,76.0,83,48,53,55,59,58,99,56,58,46,54,52,54,43,69,47
Diploma in Interior Designing,Interior Design & Architecture,85,96,88,51,68.0,80,57,43,57,50,60,52,46,40,51,58,44,57,67,83,42
Diploma in Event Management,Event Planning & Management,53,89,81,69,78.0,85,49,45,59,50,53,93,58,50,41,60,46,57,47,64,53
Diploma in Travel & Tourism Management,Tourism & Service Industry,55,60,88,80,98.0,83,51,45,40,56,41,73,50,60,53,73,47,46,59,64,56
Diploma in Interior Designing,Interior Design & Architecture,94,81,91,41,77.0,78,43,52,50,47,48,41,43,52,60,45,46,56,66,96,46
Diploma in Digital Marketing,Marketing & Online Branding,48,88,98,49,83.0,76,60,95,56,56,49,72,54,56,55,54,54,55,58,71,42
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,99,91,84,82,61.0,67,63,47,51,59,55,45,60,55,48,48,40,58,48,59,45
Diploma in Paramedical Sciences,Healthcare & Allied Services,44,48,70,83,,69,85,59,45,52,46,53,52,56,54,48,85,97,42,77,41
Diploma in Travel & Tourism Management,Tourism & Service Industry,58,53,94,99,81.0,88,45,41,44,52,40,76,56,43,52,73,59,48,45,73,40
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",87,95,78,52,61.0,49,57,94,55,54,49,59,50,53,57,53,41,57,75,96,45
Diploma in Event Management,Event Planning & Management,58,84,80,73,80.0,98,42,57,60,46,50,90,59,55,49,56,43,56,40,78,56
Diploma in Photography,Photography & Visual Arts,91,89,97,41,66.0,66,53,71,60,57,41,41,51,53,52,60,58,40,46,97,47
Diploma in Graphic Designing,Design & Visual Communication,98,89,65,53,71.0,40,57,96,56,46,56,49,54,48,43,46,43,47,64,94,44
Diploma in Retail Management,Retail & Sales Operations,57,59,100,98,94.0,62,63,57,59,56,55,84,49,52,44,52,57,40,47,69,50
Diploma in Digital Marketing,Marketing & Online Branding,47,93,99,48,86.0,80,49,99,55,42,49,68,42,57,47,50,54,52,43,70,59
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,84,100,84,92,67.0,73,67,53,42,45,52,55,51,60,59,55,57,47,51,53,47
Diploma in Hotel Management,Hospitality & Service Management,47,41,100,96,98.0,100,76,53,40,48,60,64,43,62,60,51,42,54,43,65,56
Diploma in Fashion Designing,"Fashion, Creativity & Design",84,94,80,70,65.0,80,44,58,48,42,51,43,54,51,43,60,60,51,58,89,60
Diploma in Interior Designing,Interior Design & Architecture,100,84,87,49,75.0,68,51,49,54,49,44,52,47,49,46,42,41,55,80,88,57
Diploma in Digital Marketing,Marketing & Online Branding,50,100,80,60,97.0,68,53,88,45,59,60,64,60,44,51,58,54,52,59,79,60
Diploma in Paramedical Sciences,Healthcare & Allied Services,54,45,60,84,,67,88,54,43,43,56,55,49,57,40,41,97,82,52,78,51
Diploma in Hotel Management,Hospitality & Service Management,46,56,86,80,87.0,90,61,58,57,58,53,65,55,61,46,50,57,49,60,71,40
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,56,89,94,88,61.0,65,93,54,41,44,51,79,54,55,50,50,51,49,57,42,44
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,58,98,99,81,75.0,76,99,49,51,57,41,78,45,57,43,55,47,52,51,54,48
Diploma in Retail Management,Retail & Sales Operations,40,44,98,86,87.0,68,65,54,42,57,50,95,49,50,48,45,54,51,58,71,52
Diploma in Fashion Designing,"Fashion, Creativity & Design",90,84,91,67,69.0,60,47,40,54,59,44,46,51,43,49,51,59,54,58,89,53
Diploma in Photography,Photography & Visual Arts,87,100,90,48,69.0,71,43,60,59,40,47,42,40,53,43,46,44,55,45,98,53
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,42,97,88,96,72.0,62,99,44,52,47,54,68,40,48,54,41,40,54,52,51,47
Diploma in Interior Designing,Interior Design & Architecture,98,93,87,56,62.0,73,60,58,42,57,44,60,53,42,49,54,58,50,79,92,43
Diploma in Graphic Designing,Design & Visual Communication,100,83,60,42,66.0,52,56,100,44,43,58,56,50,40,58,49,57,54,64,94,41
Diploma in Graphic Designing,Design & Visual Communication,91,88,63,46,72.0,52,42,99,57,51,40,46,58,44,52,60,53,59,72,92,48
Diploma in Journalism & Mass Communication,Media & Communication,51,67,90,42,80.0,91,57,57,53,46,40,48,42,80,56,52,43,50,73,91,59
Diploma in Hotel Management,Hospitality & Service Management,56,47,91,82,99.0,98,76,52,55,52,55,76,54,79,46,43,54,53,53,69,40
Diploma in Interior Designing,Interior Design & Architecture,90,85,82,57,76.0,70,51,54,45,58,46,58,41,46,48,43,40,43,64,82,58
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",93,93,61,53,76.0,53,56,97,40,51,50,59,49,50,57,58,60,41,69,82,53
Diploma in Event Management,Event Planning & Management,51,82,80,73,62.0,95,47,52,54,59,59,86,46,43,43,58,55,41,49,74,40
Diploma in Retail Management,Retail & Sales Operations,47,41,92,92,86.0,68,62,56,57,40,58,92,60,52,53,55,55,42,42,79,40
Diploma in Graphic Designing,Design & Visual Communication,97,96,76,41,68.0,43,47,88,49,54,57,45,54,42,52,58,54,58,69,86,52
Diploma in Digital Marketing,Marketing & Online Branding,40,94,98,59,99.0,64,47,87,46,52,49,61,49,46,46,55,41,49,58,79,45
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",100,88,77,53,67.0,44,45,82,48,60,45,45,51,60,52,48,51,53,71,91,40
Diploma in Hotel Management,Hospitality & Service Management,50,47,85,85,93.0,81,72,47,60,46,42,76,41,65,50,56,60,53,56,76,43
Diploma in Photography,Photography & Visual Arts,93,84,86,57,76.0,70,46,68,59,45,51,40,52,42,56,43,50,52,46,93,44
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,49,53,78,53,73.0,52,56,83,44,50,54,47,55,46,53,48,58,54,97,76,96
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,46,91,94,96,72.0,80,85,43,42,53,40,70,59,46,47,49,56,59,41,44,45
Diploma in Digital Marketing,Marketing & Online Branding,53,89,86,57,96.0,74,45,83,41,50,44,75,57,41,57,54,44,58,57,65,58
Diploma in Journalism & Mass Communication,Media & Communication,50,71,90,59,88.0,82,50,50,53,58,59,58,51,67,58,59,50,59,75,82,48
Diploma in Photography,Photography & Visual Arts,80,88,84,48,64.0,71,44,64,47,58,58,55,46,47,41,40,45,57,60,80,41
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,85,90,96,85,70.0,74,63,45,43,51,46,54,45,49,54,58,48,59,47,54,47
Diploma in Hotel Management,Hospitality & Service Management,57,52,91,83,81.0,96,63,44,41,47,41,63,49,76,50,54,59,60,50,60,47
Diploma in Fashion Designing,"Fashion, Creativity & Design",97,83,88,60,72.0,69,49,57,52,53,58,59,58,52,60,53,47,45,41,88,45
