Course,Area of Interest,History,Political Science,Sociology,Psychology,Economics,Philosophy,Geography,English,Hindi,Sanskrit,Fine Arts,PE,Logical Reasoning,Memory,Communication,Empathy,Creativity,Critical Thinking,Final Score,Career Options
BA Economics,Economics & Finance,77,99,52,47,86,56,60,74,59,54,40,53,84,70,55,41,47,90,70.24,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,62,80,50,55,97,55,49,77,45,58,43,52,93,62,49,45,40,93,66.51,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,78,93,49,56,88,45,50,66,56,40,44,48,97,80,41,50,45,87,66.07,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,77,90,44,54,97,41,50,72,43,46,50,43,94,60,42,53,45,97,64.8,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,65,85,60,55,84,56,49,80,57,46,42,52,94,79,58,42,43,84,66.27,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,63,91,49,60,99,52,53,64,43,53,49,56,89,66,55,40,56,100,68.18,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,65,98,52,42,86,48,44,69,56,51,55,42,88,74,44,52,53,99,68.49,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,75,92,56,47,100,41,44,65,51,57,40,56,90,69,58,53,49,94,70.13,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,63,81,48,49,90,53,46,74,58,54,47,50,88,74,40,40,58,82,66.47,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,67,94,49,40,97,41,58,72,40,41,55,54,92,75,56,60,46,96,67.56,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,72,84,56,42,86,56,46,80,40,56,56,50,82,74,60,50,55,88,66.36,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,75,88,58,51,98,48,46,73,58,58,41,48,92,74,42,50,60,93,68.64,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,77,98,55,41,87,45,51,74,47,43,54,59,96,72,57,41,52,92,69.51,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,79,89,42,58,82,53,47,63,59,50,50,50,81,76,48,41,54,95,66.24,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,67,88,44,55,92,46,59,76,42,44,58,51,86,68,45,56,55,82,69.51,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,63,89,44,60,89,51,49,72,50,55,47,47,87,72,41,51,49,91,67.2,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,74,95,56,41,97,51,58,77,56,45,54,42,85,62,40,52,60,93,68.98,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,63,86,49,46,100,54,54,63,45,59,44,59,91,60,47,40,44,85,68.4,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,62,94,44,53,97,55,45,73,47,46,47,52,85,77,41,47,50,80,65.67,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,75,99,51,50,89,42,52,62,54,55,52,56,82,79,50,60,58,90,70.38,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,80,82,45,53,97,56,43,74,50,42,42,55,84,80,49,58,43,98,68.27,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,61,89,50,59,95,58,50,73,41,44,44,58,100,71,57,43,56,89,70.38,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,65,93,50,50,97,57,50,80,51,44,48,48,89,78,40,46,43,80,68.09,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,67,91,57,54,96,53,53,77,59,57,55,40,90,74,51,47,59,85,68.18,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,72,92,41,44,96,45,41,63,50,47,51,47,90,79,47,47,56,99,69.0,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,75,93,50,46,95,52,54,75,60,48,42,58,99,64,49,56,54,87,70.22,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,80,93,59,46,100,51,56,76,49,58,53,50,81,77,46,51,41,99,71.22,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,65,89,59,54,84,59,42,64,47,47,47,51,87,70,53,47,49,86,68.09,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,63,92,43,44,83,57,45,61,50,53,44,45,89,67,53,42,51,95,67.07,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,60,89,49,60,81,48,52,75,57,58,51,47,96,74,49,54,54,86,69.07,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,76,88,47,59,100,57,52,75,48,51,51,45,98,66,42,55,57,95,68.84,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,63,87,52,52,96,56,44,65,58,52,53,43,86,67,52,45,45,100,66.0,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,62,92,41,55,85,47,47,65,53,42,49,42,91,76,44,59,48,100,68.6,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,66,83,52,52,89,57,56,79,59,52,56,43,80,60,54,52,56,87,69.76,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,72,93,47,47,94,52,46,64,56,55,41,57,96,66,52,57,53,97,69.29,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,70,100,60,55,96,47,58,79,54,48,59,49,91,80,59,40,59,88,71.78,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Economics,Economics & Finance,60,91,42,50,81,55,48,74,51,40,52,53,87,67,51,40,50,87,65.76,"Economist, Data Analyst, Financial Consultant, Policy Analyst, Banking / Insurance Executive"
BA Philosophy,Ethics & Philosophy,58,50,86,50,56,80,60,80,47,45,57,45,64,92,78,47,48,96,67.02,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,58,50,96,60,58,81,47,78,46,56,45,58,65,81,65,44,58,99,67.49,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,56,50,83,52,59,96,48,63,53,58,42,53,67,80,69,57,55,87,66.13,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,51,47,95,57,43,85,51,68,54,55,51,53,72,81,62,49,48,99,67.22,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,49,58,82,44,42,95,56,74,42,51,48,60,71,94,61,57,59,91,67.0,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,55,55,80,41,42,100,59,76,59,60,40,59,65,94,73,59,54,93,71.73,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,44,45,96,50,55,91,54,63,57,60,42,47,62,87,77,49,59,96,67.8,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,50,44,92,60,44,92,45,64,48,55,41,40,67,98,70,51,51,86,67.2,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,47,48,86,60,54,81,59,71,40,47,44,54,60,80,69,49,60,94,68.22,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,45,42,92,55,47,94,56,76,52,56,45,56,75,93,72,45,42,93,69.09,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,54,47,94,52,56,100,42,65,44,56,41,54,64,99,65,45,57,97,66.91,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,56,53,93,52,46,91,54,78,50,54,51,42,76,82,78,59,43,82,69.67,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,51,47,96,46,50,97,40,62,43,52,45,53,64,95,74,54,43,87,67.84,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,55,43,92,52,41,82,47,74,50,48,46,52,61,87,66,51,58,86,66.29,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,55,42,89,45,57,97,44,80,46,41,50,52,64,85,73,51,43,85,66.64,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,57,54,87,48,44,89,59,65,55,42,49,50,70,96,63,43,56,88,69.16,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,44,45,82,40,59,95,50,72,49,42,48,51,73,80,77,56,48,88,66.64,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,58,54,84,54,59,81,52,75,54,49,53,49,73,88,73,42,59,95,67.4,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,49,42,90,50,60,100,52,66,56,41,51,49,77,90,75,56,58,97,67.91,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,60,55,85,51,50,94,54,75,49,51,52,43,66,81,74,47,46,94,68.69,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,47,51,92,50,56,96,43,80,47,44,55,43,74,91,64,55,53,89,67.42,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,52,59,84,42,54,83,54,73,59,58,52,49,80,84,79,59,45,83,67.27,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,55,57,84,43,52,98,41,72,50,43,59,59,74,83,68,46,58,98,67.67,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,45,59,94,54,59,88,43,77,57,44,59,50,64,83,71,41,52,89,67.78,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,49,46,83,58,49,82,60,78,60,41,59,49,61,81,76,55,55,93,67.64,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,60,50,80,50,60,83,46,74,57,51,56,40,70,80,74,60,49,86,66.24,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,49,43,91,58,50,87,57,70,50,52,42,51,62,89,76,41,56,95,65.93,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,59,45,89,49,47,80,52,68,49,54,44,55,72,99,77,50,48,95,66.51,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,41,51,87,48,51,88,49,61,55,59,46,41,60,98,63,41,53,81,66.49,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,51,44,99,46,60,89,53,73,44,57,53,41,71,85,63,52,43,93,68.64,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,43,40,92,43,59,97,45,62,52,55,44,43,80,87,78,53,46,93,66.42,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,51,55,96,52,53,86,53,74,51,56,48,54,71,81,64,52,59,87,69.4,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,54,50,80,60,42,96,58,73,47,52,59,42,64,88,65,41,52,84,66.6,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,40,59,91,50,46,94,50,75,42,59,53,42,60,100,74,40,56,81,69.22,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,45,47,95,58,40,82,42,64,51,51,59,52,79,88,66,43,58,98,66.69,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,52,50,92,52,59,94,60,72,50,58,47,59,67,89,75,58,50,92,69.87,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,59,58,95,46,58,91,54,73,50,49,50,45,61,90,78,45,53,99,68.29,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,56,49,80,42,47,87,59,74,46,50,46,43,71,85,73,51,50,98,69.2,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,44,53,100,55,52,99,43,70,56,46,53,50,68,92,77,50,54,98,67.56,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,43,53,93,42,56,82,55,73,59,52,54,53,78,85,69,54,60,99,68.56,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,49,46,96,57,56,88,49,69,46,55,57,45,79,80,60,51,60,81,66.56,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,56,43,90,43,40,86,57,68,42,47,58,43,77,99,70,53,57,95,66.36,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,54,43,84,56,46,95,53,75,46,48,43,50,61,91,71,43,57,100,66.8,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,40,52,85,45,51,87,58,64,57,44,49,40,69,84,71,46,48,100,66.64,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,40,50,100,54,41,99,46,80,51,57,42,46,70,97,71,45,44,80,67.67,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,50,43,97,43,56,81,41,71,45,49,60,55,73,86,78,56,48,92,66.76,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,44,49,100,49,46,94,46,74,42,58,49,54,62,85,71,54,45,92,69.11,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,42,47,87,59,54,83,58,80,42,52,47,55,72,82,75,48,53,92,70.13,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,46,54,86,45,41,88,56,64,51,40,49,50,75,93,67,56,57,91,68.49,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Philosophy,Ethics & Philosophy,53,55,93,48,43,90,45,74,44,50,57,52,70,93,77,58,54,88,68.24,"Ethics Consultant, Researcher / Academic, Civil Services / Policy Advisor, Teacher / Lecturer, Writer / Think Tank Analyst"
BA Geography,Geography & GIS,79,40,43,53,81,55,82,67,45,55,55,46,92,72,44,59,57,94,69.13,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,61,49,52,57,94,51,94,72,57,54,50,58,82,66,60,53,53,92,69.53,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,68,40,58,50,98,57,91,60,58,59,56,44,82,61,42,47,55,85,67.78,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,75,55,42,52,93,47,91,80,47,60,48,40,85,78,50,50,52,90,69.84,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,74,40,60,46,92,51,97,78,54,47,58,49,86,77,55,59,45,88,71.38,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,72,60,47,55,92,52,96,79,44,60,56,48,81,77,48,45,50,85,67.98,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,72,50,53,41,87,42,100,62,40,58,57,56,99,72,42,40,43,92,68.36,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,70,41,55,41,98,58,95,78,48,40,49,58,80,61,55,51,47,97,66.07,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,72,45,60,45,88,55,90,66,49,49,59,57,99,68,54,43,47,88,68.8,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,68,43,56,55,94,42,99,64,44,59,54,57,94,61,52,43,49,92,67.84,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,68,47,42,55,93,48,100,70,42,44,49,52,83,72,51,44,49,88,68.56,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,66,41,46,47,86,60,93,78,44,57,59,51,96,72,41,52,46,89,66.96,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,62,42,57,50,99,44,98,78,54,55,48,43,94,71,42,53,56,98,67.84,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,63,46,58,56,95,54,87,78,47,57,55,59,98,69,56,52,52,86,69.71,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,61,43,45,57,85,56,93,70,58,41,42,50,85,73,58,55,60,86,67.09,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,78,59,55,46,88,52,80,67,43,42,42,52,87,66,40,55,45,86,66.33,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,68,50,49,60,80,57,83,64,48,56,42,55,84,75,42,59,54,82,69.04,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,73,55,56,59,97,57,93,77,54,54,45,54,97,63,47,54,42,94,70.44,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,68,41,47,59,96,52,80,61,54,51,53,41,97,66,45,53,47,81,67.73,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,64,53,59,60,100,42,84,75,57,56,50,56,95,61,43,60,46,81,67.76,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,76,46,44,44,99,55,98,68,44,47,48,44,89,61,48,50,43,81,65.22,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,73,40,57,46,80,40,80,63,43,57,50,40,89,68,43,45,55,81,66.07,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,69,56,52,57,92,56,84,70,46,49,56,54,97,78,41,43,42,86,69.53,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,69,46,47,45,80,43,93,76,59,57,50,60,93,68,54,51,49,98,70.18,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,65,59,45,47,80,56,96,74,46,58,42,50,99,78,48,49,41,80,68.47,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,77,56,45,53,94,53,82,78,51,41,42,57,80,79,60,45,44,80,69.24,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,60,60,60,55,91,47,95,60,43,49,50,56,86,71,60,46,51,94,66.6,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,73,52,43,53,93,55,86,78,41,49,57,56,84,71,45,48,59,80,68.71,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,80,45,58,57,85,52,80,72,46,54,51,40,94,63,52,44,41,80,67.62,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,65,55,53,42,94,42,81,60,48,48,46,42,97,70,46,48,40,93,67.36,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,65,46,49,46,81,43,100,76,40,49,58,54,89,78,51,55,48,94,69.07,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,73,57,41,43,97,46,92,74,40,50,49,44,95,70,60,45,48,92,67.0,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,73,40,56,44,81,48,83,76,56,60,57,55,87,70,60,60,57,89,69.6,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,76,57,49,55,99,44,92,77,56,48,53,56,83,77,59,54,50,91,69.87,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,72,54,54,44,98,59,93,76,57,60,42,41,80,69,58,56,51,80,69.04,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,76,42,50,56,82,47,99,63,60,46,53,53,83,75,40,56,49,95,69.0,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,67,46,45,55,99,55,86,68,53,50,53,46,80,72,59,42,59,83,67.69,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,61,53,51,56,91,51,80,72,53,41,51,60,95,63,47,41,49,88,67.82,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,72,56,55,41,99,59,93,62,51,47,41,43,93,75,58,41,51,93,67.22,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,72,43,57,51,99,60,98,67,46,55,58,45,99,80,50,44,55,86,68.58,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,70,54,42,44,100,44,88,74,42,45,56,60,87,80,50,45,47,89,66.04,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,73,53,49,51,85,51,93,61,48,49,56,56,82,78,40,51,46,83,66.91,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,72,41,49,60,83,57,84,78,41,51,56,49,81,65,47,58,50,91,67.07,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,61,47,50,60,83,49,100,79,55,47,43,49,91,73,55,57,60,100,69.71,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,77,46,59,46,88,40,85,65,51,51,49,45,96,78,57,45,58,89,67.4,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,80,45,60,46,80,57,99,71,55,49,49,53,99,69,49,50,41,99,68.56,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
BA Geography,Geography & GIS,66,47,40,60,81,57,94,60,44,41,59,42,98,77,57,53,47,91,69.51,"Cartographer, Urban Planner, GIS Specialist, Environmental Consultant, Geography Researcher"
