Course,Physics,Chemistry,Biology,Math,English,Hindi,Psychology,CS,Logical Reasoning,Analytical Thinking,Critical Thinking,Problem-Solving,Communication,Creativity,Research Skills,Numerical Aptitude,Empathy,Attention to Detail,Career Option
BNYS,61,98,80,48,80,53,46,53,46,41,70,51,88,52,64,51,85,52,Public Health Educator
BNYS,63,96,92,56,61,44,46,43,44,60,65,51,85,59,73,58,95,60,Researcher in Alternative Medicine
BNYS,73,88,82,56,69,60,51,44,59,43,75,53,92,44,79,53,82,57,Yoga Therapist
BNYS,68,88,97,59,65,50,48,53,55,46,67,55,80,52,70,60,94,55,Researcher in Alternative Medicine
BNYS,60,90,99,43,62,43,40,59,51,54,66,40,90,55,78,52,90,57,Yoga Therapist
BNYS,67,87,94,54,60,58,54,43,48,52,79,59,85,47,76,54,96,40,Wellness & Lifestyle Coach
BNYS,63,91,85,41,70,53,52,41,59,47,79,53,100,54,73,50,84,47,Public Health Educator
BNYS,74,89,91,51,62,54,57,55,49,59,78,59,98,45,70,57,87,51,Clinical Practitioner (Naturopathy)
BNYS,65,93,88,52,78,44,43,47,54,51,74,59,80,49,60,44,89,43,Public Health Educator
BNYS,71,95,95,48,72,43,58,54,40,45,75,53,87,59,78,57,92,57,Yoga Therapist
BNYS,76,87,93,53,77,40,43,49,42,54,70,47,96,52,61,46,82,43,Researcher in Alternative Medicine
BNYS,74,87,90,47,74,54,52,56,52,57,78,42,93,50,63,43,99,45,Clinical Practitioner (Naturopathy)
BNYS,60,89,97,43,80,53,47,59,60,47,69,41,99,41,72,47,90,56,Clinical Practitioner (Naturopathy)
BNYS,79,87,92,58,62,53,53,53,44,44,78,47,84,50,67,49,88,52,Clinical Practitioner (Naturopathy)
BNYS,72,80,83,40,71,48,45,60,40,41,68,46,87,48,73,60,95,60,Yoga Therapist
BNYS,62,87,99,60,69,42,53,41,40,47,65,53,99,55,71,46,80,45,Rehabilitation Specialist
BNYS,75,89,84,59,77,54,50,59,52,45,74,50,91,51,77,56,88,48,Clinical Practitioner (Naturopathy)
BNYS,79,98,93,58,64,55,51,50,60,56,65,52,99,46,78,57,90,45,Clinical Practitioner (Naturopathy)
BNYS,73,88,81,55,71,51,43,47,43,45,70,52,100,41,66,54,80,52,Clinical Practitioner (Naturopathy)
BNYS,70,87,100,43,77,57,55,47,47,47,62,58,90,53,76,50,99,42,Rehabilitation Specialist
BNYS,73,82,87,53,77,58,41,50,59,41,77,47,82,55,64,47,91,55,Naturopath Doctor
BNYS,70,97,86,40,75,48,42,45,43,54,76,59,91,47,78,46,100,40,Clinical Practitioner (Naturopathy)
BNYS,67,95,99,57,69,40,56,42,53,40,67,41,80,60,78,52,83,47,Clinical Practitioner (Naturopathy)
BNYS,63,98,85,54,60,55,45,46,60,47,66,45,93,46,70,43,95,47,Yoga Therapist
BNYS,67,96,94,40,79,47,46,45,47,60,72,49,100,56,75,60,100,47,Researcher in Alternative Medicine
BNYS,80,100,88,59,73,57,58,48,54,45,74,53,89,44,75,44,82,40,Naturopath Doctor
BNYS,70,86,98,40,80,60,58,45,41,45,62,57,93,49,72,55,82,54,Clinical Practitioner (Naturopathy)
BNYS,64,84,80,50,72,44,45,45,40,50,62,57,96,53,76,58,87,43,Public Health Educator
BNYS,67,94,99,45,72,40,55,51,46,45,78,55,96,46,67,42,87,50,Rehabilitation Specialist
BNYS,78,96,94,56,69,46,41,54,52,46,60,50,92,56,69,54,85,45,Clinical Practitioner (Naturopathy)
BNYS,76,91,90,47,76,44,54,50,41,57,70,46,95,60,78,42,89,54,Wellness & Lifestyle Coach
BNYS,69,89,81,52,66,50,45,46,44,51,67,43,91,51,61,42,99,47,Researcher in Alternative Medicine
BNYS,77,95,100,41,71,43,52,55,48,60,68,49,99,55,71,40,85,44,Yoga Therapist
BNYS,80,94,100,52,76,55,40,42,57,45,76,55,94,49,60,56,84,43,Clinical Practitioner (Naturopathy)
BNYS,79,90,91,42,63,49,58,52,50,58,70,53,87,52,62,40,97,41,Public Health Educator
BNYS,70,84,85,48,80,54,58,50,44,44,73,56,88,42,69,58,89,49,Public Health Educator
BNYS,75,93,85,54,71,46,52,48,55,53,78,60,96,44,72,45,88,53,Rehabilitation Specialist
BNYS,62,87,84,45,75,50,42,56,57,51,73,54,99,60,60,44,92,51,Public Health Educator
BNYS,65,84,91,60,63,60,53,54,59,46,62,43,86,45,65,47,88,53,Clinical Practitioner (Naturopathy)
BNYS,73,90,84,53,60,53,52,42,57,49,66,49,92,49,76,42,91,51,Rehabilitation Specialist
BNYS,78,94,97,60,66,60,46,44,57,50,72,40,95,49,66,57,91,40,Researcher in Alternative Medicine
BNYS,62,98,86,53,65,41,46,58,59,53,75,58,97,45,77,51,95,55,Yoga Therapist
BPT (Physiotherapy),72,92,82,52,77,56,42,49,55,52,60,70,85,54,53,50,89,41,Pediatric Physiotherapist
BPT (Physiotherapy),69,83,97,57,79,48,45,57,50,45,79,68,97,45,58,49,92,58,Neuro Physiotherapist
BPT (Physiotherapy),79,80,84,56,72,52,57,46,54,56,64,76,87,55,49,60,89,41,Ergonomic Consultant
BPT (Physiotherapy),69,85,95,50,62,42,47,53,48,40,74,69,83,41,43,43,81,57,Physiotherapist
BPT (Physiotherapy),68,84,87,60,60,43,40,53,44,40,61,67,98,59,41,59,93,49,Physiotherapist
BPT (Physiotherapy),72,97,95,53,65,40,56,50,45,44,67,72,93,47,47,58,90,46,Academic/Researcher
BPT (Physiotherapy),68,83,93,57,80,47,49,54,59,55,71,76,86,57,40,51,96,58,Physiotherapist
BPT (Physiotherapy),61,93,88,44,68,52,55,54,49,57,77,70,97,56,56,41,94,43,Ergonomic Consultant
BPT (Physiotherapy),75,93,99,53,79,46,58,47,58,45,73,65,94,56,46,41,82,46,Rehabilitation Specialist
BPT (Physiotherapy),71,94,93,55,77,58,50,52,52,53,69,62,86,48,50,53,98,46,Physiotherapist
BPT (Physiotherapy),72,88,83,54,69,57,50,49,59,41,71,61,94,48,43,54,83,42,Academic/Researcher
BPT (Physiotherapy),68,80,97,45,67,59,41,53,58,53,63,60,99,44,43,57,86,57,Neuro Physiotherapist
BPT (Physiotherapy),75,81,94,46,76,60,43,58,47,56,79,70,89,58,60,41,100,49,Physiotherapist
BPT (Physiotherapy),67,84,88,44,75,55,52,59,49,43,77,64,81,53,43,53,86,41,Academic/Researcher
BPT (Physiotherapy),61,100,88,57,70,49,48,59,47,53,60,64,80,50,47,41,85,50,Sports Therapist
BPT (Physiotherapy),78,87,89,57,72,59,55,55,60,57,68,79,91,43,46,59,82,58,Pediatric Physiotherapist
BPT (Physiotherapy),61,93,86,57,75,43,47,43,52,44,66,67,98,45,51,58,86,55,Academic/Researcher
BPT (Physiotherapy),73,92,93,42,70,58,59,51,55,54,69,72,97,55,55,59,97,52,Rehabilitation Specialist
BPT (Physiotherapy),63,86,85,59,64,41,58,54,51,60,77,73,86,59,59,50,80,49,Physiotherapist
BPT (Physiotherapy),62,85,93,48,76,47,46,55,43,46,73,79,92,50,54,52,84,40,Neuro Physiotherapist
BPT (Physiotherapy),65,86,95,43,65,54,45,43,42,50,68,72,80,51,42,41,80,42,Sports Therapist
BPT (Physiotherapy),75,80,91,47,77,43,44,48,49,44,76,79,85,60,53,43,99,57,Ergonomic Consultant
BPT (Physiotherapy),75,94,86,40,75,52,47,45,53,48,68,80,91,58,53,40,99,42,Physiotherapist
BPT (Physiotherapy),67,80,93,58,62,46,56,56,55,56,74,69,99,60,40,55,94,49,Pediatric Physiotherapist
BPT (Physiotherapy),70,95,90,56,63,41,45,44,40,59,79,74,88,51,43,52,80,41,Ergonomic Consultant
BPT (Physiotherapy),71,87,89,46,66,45,58,58,48,53,73,79,99,51,60,51,81,60,Academic/Researcher
BPT (Physiotherapy),72,93,92,54,78,52,40,45,47,45,77,75,88,41,58,40,97,41,Neuro Physiotherapist
BPT (Physiotherapy),62,89,95,60,73,48,58,44,46,42,74,62,99,47,45,46,82,45,Academic/Researcher
BPT (Physiotherapy),80,94,96,40,72,49,59,54,53,48,80,65,85,60,41,48,82,41,Neuro Physiotherapist
BPT (Physiotherapy),75,98,99,51,63,50,47,57,46,56,66,62,95,50,41,43,85,45,Sports Therapist
BPT (Physiotherapy),64,86,98,49,78,45,46,47,49,52,75,62,96,56,40,40,85,53,Neuro Physiotherapist
BPT (Physiotherapy),75,88,94,43,78,60,44,40,45,42,62,74,91,57,47,45,92,49,Sports Therapist
BPT (Physiotherapy),71,87,81,57,78,54,57,52,44,60,70,78,81,52,42,48,82,44,Pediatric Physiotherapist
BPT (Physiotherapy),74,96,91,45,73,50,54,56,45,60,73,73,96,52,55,51,100,44,Sports Therapist
BPT (Physiotherapy),76,81,84,43,80,40,56,46,56,60,61,62,97,54,43,58,92,60,Pediatric Physiotherapist
BPT (Physiotherapy),72,84,88,60,79,48,47,53,45,46,72,77,96,56,44,55,86,40,Academic/Researcher
BPT (Physiotherapy),73,80,99,44,80,47,55,55,44,51,64,80,85,45,50,40,85,58,Ergonomic Consultant
BPT (Physiotherapy),69,99,90,43,75,52,56,60,57,50,75,74,94,53,48,51,85,43,Pediatric Physiotherapist
BPT (Physiotherapy),71,90,85,47,74,45,40,42,54,57,76,71,81,45,54,59,97,50,Pediatric Physiotherapist
BPT (Physiotherapy),72,90,92,40,78,46,53,50,49,44,74,63,89,53,41,51,83,49,Sports Therapist
BPT (Physiotherapy),71,92,98,49,72,59,56,45,58,56,65,61,95,51,48,45,97,58,Academic/Researcher
BPT (Physiotherapy),76,96,99,44,70,49,52,44,42,53,60,67,87,50,45,50,93,48,Neuro Physiotherapist
BPT (Physiotherapy),76,92,80,47,70,46,50,55,47,52,69,71,92,50,53,52,82,41,Physiotherapist
BPT (Physiotherapy),62,95,85,40,63,56,40,40,52,57,62,60,93,47,40,58,87,43,Sports Therapist
BPT (Physiotherapy),62,91,88,60,73,49,46,53,58,56,66,67,86,44,55,49,80,53,Neuro Physiotherapist
BPT (Physiotherapy),73,91,88,45,75,48,46,44,48,40,76,65,82,52,56,48,83,48,Physiotherapist
BPT (Physiotherapy),73,87,91,53,73,59,54,53,40,57,77,64,92,54,40,44,93,42,Pediatric Physiotherapist
BPT (Physiotherapy),67,94,89,40,78,56,52,59,58,60,60,62,96,50,43,49,90,43,Academic/Researcher
BPT (Physiotherapy),78,84,83,44,70,44,51,42,44,49,60,66,84,54,42,45,87,44,Physiotherapist
BPT (Physiotherapy),67,83,93,53,66,50,57,41,57,49,70,78,91,45,43,45,96,45,Sports Therapist
BPT (Physiotherapy),80,83,93,51,69,50,52,54,55,43,62,78,91,48,51,57,100,49,Neuro Physiotherapist
BPT (Physiotherapy),75,93,88,48,66,50,49,52,60,55,76,77,94,40,43,47,99,54,Sports Therapist
BPT (Physiotherapy),64,91,88,54,65,59,53,43,45,56,69,73,82,48,57,48,80,48,Physiotherapist
BPT (Physiotherapy),66,86,80,45,71,51,44,49,57,46,74,78,99,40,58,57,89,48,Academic/Researcher
BPT (Physiotherapy),80,90,100,47,65,53,60,47,57,44,79,78,94,52,52,57,98,54,Rehabilitation Specialist
BPT (Physiotherapy),71,99,84,41,68,54,48,42,42,56,75,67,91,53,58,58,89,41,Neuro Physiotherapist
BPT (Physiotherapy),73,90,80,40,72,49,59,51,49,57,68,74,94,51,59,46,85,40,Sports Therapist
BPT (Physiotherapy),64,81,90,51,60,43,56,50,41,57,71,70,98,44,51,51,89,50,Pediatric Physiotherapist
BPT (Physiotherapy),66,95,86,50,60,51,59,53,55,60,65,68,94,57,41,47,90,41,Physiotherapist
BPT (Physiotherapy),62,98,88,42,72,55,43,58,50,45,65,61,98,50,47,59,91,43,Ergonomic Consultant
BPT (Physiotherapy),77,84,100,59,61,46,53,54,59,43,77,73,90,54,47,41,81,50,Pediatric Physiotherapist
BPT (Physiotherapy),66,96,85,50,68,40,49,55,46,47,71,80,92,44,56,47,93,57,Pediatric Physiotherapist
BPT (Physiotherapy),65,83,87,45,77,57,55,48,51,53,80,68,92,53,50,60,96,49,Neuro Physiotherapist
BPT (Physiotherapy),61,92,91,41,78,40,40,48,54,44,75,73,85,59,50,52,91,52,Rehabilitation Specialist
BPT (Physiotherapy),62,90,98,53,77,51,50,47,57,47,67,60,97,56,56,53,89,42,Physiotherapist
BPT (Physiotherapy),70,83,96,54,79,46,50,46,47,42,75,79,96,46,58,40,96,58,Rehabilitation Specialist
BPT (Physiotherapy),73,98,81,48,66,40,48,41,50,44,71,67,83,47,48,42,94,51,Academic/Researcher
BPT (Physiotherapy),63,100,99,44,73,46,42,48,49,52,70,72,97,43,46,47,91,41,Academic/Researcher
BPT (Physiotherapy),74,85,97,44,66,48,48,48,54,55,68,76,94,52,56,57,91,43,Academic/Researcher
BPT (Physiotherapy),78,89,88,46,62,55,60,53,60,53,76,69,99,46,59,56,84,58,Academic/Researcher
BPT (Physiotherapy),69,94,98,56,61,42,40,50,52,45,68,70,94,58,58,41,84,43,Academic/Researcher
BPT (Physiotherapy),72,89,86,54,76,40,52,58,41,54,62,76,88,49,60,42,91,50,Rehabilitation Specialist
BPT (Physiotherapy),68,91,82,48,75,42,40,43,55,55,60,78,83,52,58,55,84,50,Academic/Researcher
BPT (Physiotherapy),67,100,80,48,76,43,49,57,47,47,64,77,87,40,40,55,93,58,Physiotherapist
BPT (Physiotherapy),69,85,90,48,60,55,51,48,46,58,64,63,94,41,49,43,89,45,Academic/Researcher
BPT (Physiotherapy),78,81,82,54,75,58,43,59,57,52,72,78,97,44,40,50,99,41,Physiotherapist
BPT (Physiotherapy),75,85,84,51,77,45,59,55,48,45,63,63,92,40,60,46,97,57,Physiotherapist
BPT (Physiotherapy),65,90,83,59,71,43,56,56,44,40,63,64,94,55,46,40,84,59,Rehabilitation Specialist
BPT (Physiotherapy),68,82,86,53,75,40,43,59,44,57,64,80,100,43,48,50,98,40,Sports Therapist
BPT (Physiotherapy),67,83,96,43,71,57,57,54,46,48,66,77,87,57,44,53,94,40,Pediatric Physiotherapist
BPT (Physiotherapy),63,100,81,51,73,57,44,44,53,44,60,72,92,47,57,58,100,57,Academic/Researcher
BPT (Physiotherapy),69,93,91,46,78,53,53,59,58,45,77,67,93,44,57,40,91,57,Physiotherapist
BPT (Physiotherapy),76,95,93,48,72,48,58,41,54,56,61,60,96,43,53,44,86,59,Physiotherapist
BPT (Physiotherapy),67,96,87,55,64,41,54,51,45,46,77,73,83,51,40,41,92,59,Sports Therapist
BPT (Physiotherapy),71,84,84,55,68,47,42,57,53,56,69,64,99,56,54,60,96,55,Rehabilitation Specialist
BPT (Physiotherapy),69,81,93,49,69,54,48,52,53,45,76,61,85,40,41,58,99,43,Ergonomic Consultant
BPT (Physiotherapy),69,84,83,54,77,46,40,45,47,44,72,60,98,53,46,41,100,42,Sports Therapist
BPT (Physiotherapy),69,88,94,42,79,54,56,56,54,43,62,79,84,55,45,44,96,47,Rehabilitation Specialist
BPT (Physiotherapy),74,82,89,48,63,42,43,52,47,48,73,68,88,57,48,55,89,43,Academic/Researcher
BPT (Physiotherapy),63,97,90,58,61,56,45,58,56,48,66,66,81,47,59,43,92,47,Pediatric Physiotherapist
BPT (Physiotherapy),79,82,97,42,66,43,46,44,57,55,69,71,80,50,55,50,89,56,Ergonomic Consultant
BPT (Physiotherapy),70,81,80,45,65,53,45,42,49,43,79,80,86,56,41,40,94,59,Pediatric Physiotherapist
BPT (Physiotherapy),74,98,80,49,74,51,58,45,43,45,63,64,91,44,41,58,84,44,Academic/Researcher
BPT (Physiotherapy),62,86,97,43,64,42,55,60,54,54,61,78,95,52,43,43,87,47,Rehabilitation Specialist
BPT (Physiotherapy),65,83,87,41,66,57,57,51,44,45,74,63,93,42,43,49,95,58,Pediatric Physiotherapist
BPT (Physiotherapy),70,96,80,58,65,43,54,56,43,53,74,67,81,53,42,48,89,40,Ergonomic Consultant
BPT (Physiotherapy),76,89,89,46,68,55,40,57,41,51,72,63,98,56,60,57,81,56,Ergonomic Consultant
BPT (Physiotherapy),60,91,85,59,80,47,60,57,60,55,61,65,85,56,51,41,89,52,Sports Therapist
BPT (Physiotherapy),78,80,98,52,75,57,54,40,58,55,60,80,91,51,58,52,99,52,Neuro Physiotherapist
BPT (Physiotherapy),80,92,90,51,80,47,41,40,55,40,63,62,95,55,55,57,97,57,Rehabilitation Specialist
B.Sc. Nursing,73,98,100,43,74,51,55,41,47,42,42,70,83,45,63,52,95,52,Nurse Educator
B.Sc. Nursing,72,89,95,45,69,55,52,43,48,55,50,75,87,55,62,52,93,54,Nurse Educator
B.Sc. Nursing,74,80,95,44,79,42,58,56,59,53,59,71,86,46,67,59,90,45,Nurse Educator
B.Sc. Nursing,61,97,84,51,70,48,50,45,53,42,57,80,95,41,76,54,89,56,Nursing Researcher
B.Sc. Nursing,80,84,96,48,79,56,55,44,40,45,40,60,100,52,64,56,91,55,Nurse Educator
B.Sc. Nursing,64,81,90,47,71,49,40,45,41,59,42,70,84,52,72,46,87,46,Nurse Educator
B.Sc. Nursing,66,88,96,45,77,41,50,56,45,43,41,65,87,58,66,44,96,46,Public Health Nurse
B.Sc. Nursing,76,88,89,47,64,41,49,47,52,59,49,61,89,50,67,40,94,54,Nursing Researcher
B.Sc. Nursing,80,98,83,43,65,56,54,48,46,40,47,80,94,43,75,46,94,60,Public Health Nurse
B.Sc. Nursing,79,87,87,50,64,51,52,43,54,59,51,72,100,51,78,53,91,57,Public Health Nurse
B.Sc. Nursing,65,80,81,42,69,50,45,48,41,58,45,74,89,44,70,47,88,42,Nurse Educator
B.Sc. Nursing,72,86,85,56,80,48,44,59,46,46,45,77,86,47,72,52,98,57,Registered Nurse
B.Sc. Nursing,68,89,80,58,66,45,48,51,60,49,47,64,81,54,70,48,99,55,Critical Care Nurse
B.Sc. Nursing,67,100,96,46,70,60,51,49,55,46,52,67,89,56,65,50,85,40,Nurse Educator
B.Sc. Nursing,79,94,98,53,66,51,47,49,44,42,44,77,97,51,79,45,81,45,Nurse Administrator
B.Sc. Nursing,71,81,90,41,69,42,48,44,50,52,47,75,87,43,78,47,90,52,Critical Care Nurse
B.Sc. Nursing,66,92,82,56,76,55,51,49,54,45,57,79,97,46,60,56,84,41,Registered Nurse
B.Sc. Nursing,68,89,89,58,66,51,41,43,54,52,60,73,94,55,69,57,95,42,Nursing Researcher
B.Sc. Nursing,63,98,85,48,76,56,55,57,45,60,51,73,98,59,79,60,100,43,Critical Care Nurse
B.Sc. Nursing,70,83,99,59,64,49,47,52,49,45,59,76,84,54,75,56,82,43,Nurse Educator
B.Sc. Nursing,77,86,82,48,76,55,44,48,58,58,59,60,83,51,76,55,81,60,Nursing Researcher
B.Sc. Nursing,62,93,96,48,70,46,46,45,53,52,42,71,85,43,64,57,92,50,Nurse Administrator
B.Sc. Nursing,67,94,96,52,62,44,45,42,55,45,58,75,93,58,75,42,97,45,Nurse Educator
B.Sc. Nursing,67,83,97,53,78,46,41,54,56,40,60,75,89,51,62,59,96,55,Public Health Nurse
B.Sc. Nursing,69,97,86,55,69,50,45,54,43,45,49,62,95,59,75,41,93,57,Nurse Administrator
B.Sc. Nursing,78,81,81,45,77,57,45,56,59,53,56,68,96,56,65,58,93,54,Critical Care Nurse
B.Sc. Nursing,78,96,96,41,77,60,46,42,59,44,44,72,86,44,65,51,95,44,Nurse Administrator
B.Sc. Nursing,60,88,92,53,70,51,45,45,43,44,51,62,96,56,67,50,87,40,Critical Care Nurse
B.Sc. Nursing,64,92,89,45,71,42,51,51,43,45,45,67,86,59,76,50,89,48,Nursing Researcher
B.Sc. Nursing,72,80,90,60,64,54,45,42,44,44,53,67,94,45,64,58,89,55,Nurse Administrator
B.Sc. Nursing,71,83,92,46,76,55,60,52,48,48,59,69,100,53,75,48,81,44,Public Health Nurse
B.Sc. Nursing,77,88,92,57,62,58,41,42,50,46,46,80,81,48,67,44,80,45,Nurse Educator
B.Sc. Nursing,64,80,99,60,71,58,40,56,57,46,46,77,81,54,77,45,87,55,Registered Nurse
B.Sc. Nursing,80,85,96,57,80,59,52,45,50,46,54,60,80,60,71,52,82,59,Nurse Administrator
B.Sc. Nursing,80,84,88,56,80,45,45,42,56,42,56,72,99,53,64,53,98,57,Registered Nurse
B.Sc. Nursing,74,93,98,44,71,48,43,56,47,50,41,72,95,46,79,47,98,60,Critical Care Nurse
B.Sc. Nursing,63,94,92,52,74,40,59,43,56,54,60,61,95,50,78,44,94,54,Nurse Educator
B.Sc. Nursing,60,89,97,59,74,42,42,47,56,47,44,66,95,48,75,57,95,43,Critical Care Nurse
B.Sc. Nursing,69,95,84,41,72,58,50,49,47,45,56,65,85,60,77,56,99,50,Nurse Educator
B.Sc. Nursing,76,80,81,42,80,56,56,42,56,50,42,69,86,46,64,44,88,46,Clinical Nurse Specialist
B.Sc. Nursing,71,83,85,41,73,54,46,59,41,60,57,80,93,44,73,43,93,51,Nursing Researcher
B.Sc. Nursing,69,84,95,49,63,57,52,41,44,60,44,73,89,41,77,50,100,56,Nurse Administrator
B.Sc. Nursing,65,85,83,57,78,55,54,43,55,47,46,68,81,41,64,42,81,44,Nurse Educator
B.Sc. Nursing,64,88,100,57,63,58,56,56,47,51,55,63,93,56,74,55,81,55,Nursing Researcher
B.Sc. Nursing,63,82,93,60,80,54,42,41,51,50,60,69,90,58,75,51,92,52,Critical Care Nurse
B.Sc. Nursing,78,93,92,42,69,45,44,51,51,58,41,72,97,53,61,46,98,52,Nurse Educator
B.Sc. Nursing,77,92,82,48,69,51,47,41,48,51,60,75,91,40,76,57,98,58,Nursing Researcher
B.Sc. Nursing,77,89,90,42,66,53,43,58,56,42,52,61,98,59,63,42,88,54,Critical Care Nurse
B.Sc. Nursing,65,87,91,51,63,43,46,49,43,43,48,74,100,51,63,49,80,45,Nurse Administrator
B.Sc. Nursing,76,86,94,56,75,58,55,54,53,44,45,67,85,49,71,42,93,58,Critical Care Nurse
B.Sc. Nursing,63,93,97,49,72,40,49,60,50,48,44,75,86,50,62,51,83,53,Registered Nurse
B.Sc. Nursing,63,98,96,51,68,41,58,49,44,57,42,80,83,47,67,41,81,44,Registered Nurse
B.Sc. Nursing,63,86,86,46,66,45,54,40,56,56,45,63,87,43,62,55,95,49,Public Health Nurse
B.Sc. Nursing,76,80,81,56,77,48,54,55,50,48,49,74,81,53,80,54,91,59,Critical Care Nurse
B.Sc. Nursing,68,86,86,47,68,60,43,53,53,57,57,67,96,45,73,52,97,45,Nursing Researcher
B.Sc. Nursing,71,80,94,50,80,51,43,55,43,44,55,80,90,51,71,53,87,60,Registered Nurse
B.Sc. Nursing,78,96,87,46,65,53,55,50,47,45,43,62,87,44,78,48,81,47,Registered Nurse
B.Sc. Nursing,73,80,80,50,69,47,60,40,52,54,51,78,97,49,77,52,80,48,Nurse Administrator
B.Sc. Nursing,67,83,85,54,71,44,58,48,47,42,58,65,95,59,72,56,95,46,Critical Care Nurse
B.Sc. Nursing,71,82,91,53,66,45,51,58,45,52,46,76,86,59,70,48,90,55,Registered Nurse
B.Sc. Nursing,79,100,98,43,74,53,60,53,52,52,47,80,91,49,63,46,90,46,Critical Care Nurse
B.Sc. Nursing,67,93,89,57,61,50,60,60,44,53,48,75,97,55,68,50,99,57,Nurse Administrator
B.Sc. Nursing,71,90,96,58,67,56,41,56,41,51,41,71,81,57,79,45,96,60,Critical Care Nurse
B.Sc. Nursing,72,83,95,51,61,43,50,58,46,45,55,80,89,52,74,42,92,48,Clinical Nurse Specialist
B.Sc. Nursing,69,98,98,44,77,41,41,57,55,59,50,74,92,44,65,47,93,51,Clinical Nurse Specialist
B.Sc. Nursing,73,95,87,55,75,54,58,46,50,59,60,79,84,41,80,60,98,52,Public Health Nurse
B.Sc. Nursing,67,80,92,59,78,45,50,57,43,50,45,75,100,59,68,51,97,53,Registered Nurse
B.Sc. Nursing,63,86,88,43,77,41,58,56,41,45,46,61,96,45,61,52,98,42,Nursing Researcher
B.Sc. Nursing,67,81,85,56,62,56,53,60,41,60,55,61,80,56,68,59,94,43,Clinical Nurse Specialist
B.Sc. Nursing,64,96,100,52,71,54,46,57,51,42,60,61,91,55,80,46,80,42,Public Health Nurse
B.Sc. Nursing,78,86,97,46,72,43,51,53,52,40,43,79,94,49,80,49,89,48,Clinical Nurse Specialist
B.Sc. Nursing,65,96,99,57,69,50,40,40,54,48,47,73,96,51,75,56,97,54,Nurse Administrator
B.Sc. Nursing,61,83,93,58,78,60,48,56,55,51,57,66,94,53,69,48,100,46,Nurse Administrator
B.Sc. Nursing,71,96,97,58,75,56,45,42,48,44,55,80,99,54,62,50,92,59,Nursing Researcher
B.Sc. Nursing,71,83,83,43,68,50,59,51,60,50,60,69,85,48,64,48,86,44,Nurse Educator
B.Sc. Nursing,75,94,85,54,69,57,41,47,40,47,44,60,86,40,60,49,88,56,Registered Nurse
B.Sc. Nursing,72,93,96,41,60,60,49,60,49,60,48,76,96,57,69,49,87,58,Nurse Administrator
B.Sc. Nursing,67,85,98,59,67,40,40,53,44,43,49,70,98,49,68,41,97,59,Public Health Nurse
B.Sc. Nursing,73,80,97,43,75,51,60,60,56,59,46,70,98,52,65,50,84,52,Clinical Nurse Specialist
B.Sc. Nursing,62,99,98,43,77,56,51,47,53,51,58,65,82,49,74,46,81,45,Critical Care Nurse
B.Sc. Nursing,77,100,93,55,64,52,45,48,51,55,45,78,96,41,63,41,85,59,Public Health Nurse
B.Sc. Nursing,77,88,83,53,80,42,43,47,41,46,53,61,90,57,68,49,100,41,Nurse Educator
B.Sc. Nursing,77,87,94,56,65,46,40,44,42,58,52,64,92,53,68,54,94,51,Clinical Nurse Specialist
B.Sc. Nursing,63,80,89,45,71,42,54,42,56,55,41,76,100,56,67,53,90,44,Public Health Nurse
B.Sc. Nursing,71,94,90,53,73,48,46,57,50,60,43,74,97,40,62,43,94,53,Clinical Nurse Specialist
B.Sc. Nursing,72,86,90,41,77,57,42,57,45,44,44,64,81,41,76,55,81,43,Nursing Researcher
B.Sc. Nursing,67,97,91,43,77,51,44,40,48,50,45,78,80,53,75,58,82,47,Nurse Administrator
B.Sc. Nursing,71,91,89,46,69,58,56,52,55,43,51,66,94,55,69,54,84,60,Clinical Nurse Specialist
B.Sc. Nursing,72,98,91,47,67,42,53,46,50,43,41,74,98,49,67,41,100,60,Nurse Educator
B.Sc. Nursing,74,100,99,49,77,52,53,40,51,46,47,65,82,51,68,47,83,45,Nurse Educator
B.Sc. Nursing,63,99,92,53,67,50,54,43,49,58,49,63,91,43,71,40,82,59,Nurse Administrator
B.Sc. Nursing,71,88,80,56,72,57,56,45,46,42,41,75,87,51,67,48,81,43,Nursing Researcher
B.Sc. Nursing,79,88,96,50,68,59,42,50,56,48,44,75,84,59,80,52,82,42,Critical Care Nurse
B.Sc. Nursing,78,98,92,47,69,55,56,49,51,55,50,75,92,43,65,46,91,55,Nurse Educator
B.Sc. Nursing,68,93,80,58,63,52,52,45,45,55,43,63,84,42,67,60,89,44,Clinical Nurse Specialist
B.Sc. Nursing,64,99,93,43,76,40,59,50,53,47,54,76,96,60,61,45,89,49,Nurse Administrator
B.Sc. Nursing,70,87,91,42,62,51,40,60,46,52,53,76,80,60,80,48,98,44,Nurse Administrator
B.Sc. Nursing,78,96,94,47,62,42,55,56,51,48,48,78,92,54,68,41,89,54,Nurse Administrator
B.Sc. Nursing,64,81,86,49,76,52,50,58,50,48,54,67,94,44,73,41,89,44,Critical Care Nurse
B.Sc. Nursing,68,84,81,40,74,41,58,47,44,41,51,71,91,57,70,42,96,55,Registered Nurse
B.Pharm,66,87,86,51,70,58,43,53,52,63,75,84,47,59,88,42,58,43,Pharmacovigilance Officer
B.Pharm,74,89,91,58,78,57,52,48,51,61,80,80,45,40,93,54,49,51,Clinical Research Associate
B.Pharm,63,80,90,45,72,46,45,41,44,60,64,85,47,52,89,49,56,56,Pharmacist
